1	19	4	7	14	5	17	2	15	11	18	11	11	19	19	3	2	16	4
	11	15	12	15	10	10	3	2	7	1	19	8	18	17	5	9	12	16
		1	17	13	18	3	18	14	19	5	5	19	19	12	1	16	7	4
			16	15	9	10	19	13	17	1	3	14	16	4	8	13	13	9
				14	3	16	2	4	4	5	4	6	6	10	6	11	13	4
					13	15	19	6	5	13	15	16	7	2	13	16	8	18
						15	20	4	14	12	1	11	14	19	20	3	4	9
							3	9	6	19	6	11	7	11	1	1	17	19
								18	18	2	8	13	6	14	16	6	20	6
									4	1	10	16	11	18	6	4	4	14
										6	20	10	1	14	10	3	2	4
											17	6	2	9	13	15	15	3
												1	17	15	6	11	1	5
													8	3	17	13	11	5
														10	9	5	7	7
															19	18	5	3
																14	9	8
																	8	17
																		13
